,Symbol,Name,Price,Market Cap
270,KMI,Kinder Morgan,16.8,38612712234.0
271,KLAC,KLA-Tencor Corp.,98.54,16078622033.0
272,KSS,Kohl's Corp.,60.34,10570861198.0
273,KHC,Kraft Heinz Co,71.58,89618309338.0
274,KR,Kroger Co.,27.57,25471355847.0
275,LB,L Brands Inc.,47.77,13862042842.0
276,LLL,L-3 Communications Holdings,198.79,16229343134.0
277,LH,Laboratory Corp. of America Holding,165.46,17271388000.0
278,LRCX,Lam Research,162.23,27967534829.0
279,LEG,Leggett & Platt,43.99,6034600480.0
280,LEN,Lennar Corp.,59.11,14615967194.0
281,LUK,Leucadia National Corp.,23.86,8910389431.0
282,LLY,Lilly (Eli) & Co.,74.21,84475986228.0
283,LNC,Lincoln National,73.86,17123031000.0
284,LKQ,LKQ Corporation,38.86,12469931896.0
285,LMT,Lockheed Martin Corp.,334.3,98102120000.0
286,L,Loews Corp.,46.05,16111166935.0
287,LOW,Lowe's Cos.,95.01,82909678852.0
288,LYB,LyondellBasell,105.79,43556650000.0
289,MTB,M&T Bank Corp.,178.35,27840827434.0
290,MAC,Macerich,58.36,8473119166.0
291,M,Macy's Inc.,24.0,7541063495.0
292,MRO,Marathon Oil Corp.,15.68,13875005314.0
293,MPC,Marathon Petroleum,62.79,31633740000.0
294,MAR,Marriott Int'l.,133.88,50910130358.0
295,MMC,Marsh & McLennan,79.31,41819440000.0
296,MLM,Martin Marietta Materials,208.42,13756812736.0
297,MAS,Masco Corp.,40.7,13428792315.0
298,MA,Mastercard Inc.,160.62,187102000000.0
299,MAT,Mattel Inc.,16.0,5843402350.0
300,MKC,McCormick & Co.,101.36,13459353253.0
301,MCD,McDonald's Corp.,158.97,132102000000.0
302,MCK,McKesson Corp.,150.23,31534840262.0
303,MDT,Medtronic plc,78.38,110107000000.0
304,MRK,Merck & Co.,54.73,152242000000.0
305,MET,MetLife Inc.,44.28,48679364276.0
306,MTD,Mettler Toledo,601.0,16420774443.0
307,MGM,MGM Resorts International,33.5,19633674337.0
308,KORS,Michael Kors Holdings,60.03,10053919023.0
309,MCHP,Microchip Technology,79.9,19393095636.0
310,MU,Micron Technology,40.0,48576791974.0
311,MSFT,Microsoft Corp.,85.01,689978000000.0
312,MAA,Mid-America Apartments,85.39,9992628990.0
313,MHK,Mohawk Industries,256.57,19897356456.0
314,TAP,Molson Coors Brewing Company,74.51,12396862128.0
315,MDLZ,Mondelez International,42.68,65827817742.0
316,MON,Monsanto Co.,119.08,53076824328.0
317,MNST,Monster Beverage,61.99,36403831015.0
318,MCO,Moody's Corp,152.14,30189978000.0
319,MS,Morgan Stanley,51.79,97535400000.0
320,MSI,Motorola Solutions Inc.,98.74,16626039679.0
321,MYL,Mylan N.V.,39.25,21698849265.0
322,NDAQ,"Nasdaq, Inc.",75.21,12844304115.0
323,NOV,National Oilwell Varco Inc.,32.64,12940096785.0
324,NAVI,Navient,13.38,3692691330.0
325,NTAP,NetApp,55.85,15375210915.0
326,NFLX,Netflix Inc.,250.1,114805000000.0
327,NWL,Newell Brands,27.91,14438346000.0
328,NFX,Newfield Exploration Co,26.38,5695123080.0
329,NEM,Newmont Mining Corporation,36.61,19749449484.0
330,NWSA,News Corp. Class A,15.65,9356906461.0
331,NWS,News Corp. Class B,15.85,9496735699.0
332,NEE,NextEra Energy,145.29,69661177770.0
333,NLSN,Nielsen Holdings,33.9,13377670080.0
334,NKE,Nike,62.49,106776000000.0
335,NI,NiSource Inc.,22.51,7776566371.0
336,NBL,Noble Energy Inc,25.43,13177325251.0
337,JWN,Nordstrom,47.23,8212509855.0
338,NSC,Norfolk Southern Corp.,136.89,40543547441.0
339,NTRS,Northern Trust Corp.,96.2,22908130223.0
340,NOC,Northrop Grumman Corp.,324.01,58782413951.0
341,NCLH,Norwegian Cruise Line,56.01,13191507318.0
342,NRG,NRG Energy,24.0,8030036023.0
343,NUE,Nucor Corp.,60.38,20003317128.0
344,NVDA,Nvidia Corporation,217.52,138653000000.0
345,ORLY,O'Reilly Automotive,252.22,21433781860.0
346,OXY,Occidental Petroleum,68.47,53467692395.0
347,OMC,Omnicom Group,75.91,17377551986.0
348,OKE,ONEOK,54.4,21988472489.0
349,ORCL,Oracle Corp.,46.84,202302000000.0
350,PCAR,PACCAR Inc.,66.98,24152102921.0
351,PKG,Packaging Corporation of America,111.95,11051273948.0
352,PH,Parker-Hannifin,174.51,24421668509.0
353,PDCO,Patterson Companies,32.88,3209792400.0
354,PAYX,Paychex Inc.,61.86,23253666810.0
355,PYPL,PayPal,72.32,90708000000.0
356,PNR,Pentair Ltd.,66.67,12466660892.0
357,PBCT,People's United Financial,18.56,6527616000.0
358,PEP,PepsiCo Inc.,110.15,161413000000.0
359,PKI,PerkinElmer,72.06,8351767268.0
360,PRGO,Perrigo,84.44,12326379902.0
361,PFE,Pfizer Inc.,33.63,208506000000.0
362,PCG,PG&E Corp.,38.24,20309412381.0
363,PM,Philip Morris International,100.39,153581000000.0
364,PSX,Phillips 66,92.44,47996220000.0
365,PNW,Pinnacle West Capital,74.34,8397609889.0
366,PXD,Pioneer Natural Resources,169.16,29983119693.0
367,PNC,PNC Financial Services,149.38,73315000000.0
368,RL,Polo Ralph Lauren Corp.,101.32,8753430477.0
369,PPG,PPG Industries,110.3,29043337549.0
370,PPL,PPL Corp.,29.52,20839814845.0
371,PX,Praxair Inc.,144.07,42948664203.0
372,PCLN,Priceline.com Inc,1806.06,91817448863.0
373,PFG,Principal Financial Group,60.38,18457199721.0
374,PG,Procter & Gamble,80.22,206319000000.0
375,PGR,Progressive Corp.,51.07,31062780000.0
376,PLD,Prologis,58.33,31953288000.0
377,PRU,Prudential Financial,103.38,47136080000.0
378,PEG,Public Serv. Enterprise Inc.,46.73,24138050331.0
379,PSA,Public Storage,180.49,32258539942.0
380,PHM,Pulte Homes Inc.,28.67,8792572352.0
381,PVH,PVH Corp.,142.68,11478625926.0
382,QRVO,Qorvo,76.85,9877885146.0
383,QCOM,QUALCOMM Inc.,62.42,96282828902.0
384,PWR,Quanta Services Inc.,33.51,5330131216.0
385,DGX,Quest Diagnostics,96.42,13578300000.0
386,RRC,Range Resources Corp.,12.82,3255587970.0
387,RJF,Raymond James Financial Inc.,86.06,13216271700.0
388,RTN,Raytheon Co.,198.74,59066255840.0
389,O,Realty Income Corporation,47.56,13784942453.0
390,RHT,Red Hat Inc.,124.65,22799923883.0
391,REG,Regency Centers Corporation,55.58,9858367494.0
392,REGN,Regeneron,322.62,35950369241.0
393,RF,Regions Financial Corp.,17.9,21500640000.0
394,RSG,Republic Services Inc,62.72,21590903863.0
395,RMD,ResMed,89.26,13233622689.0
396,RHI,Robert Half International,52.26,7047165475.0
397,ROK,Rockwell Automation Inc.,178.73,24123216432.0
398,COL,Rockwell Collins,133.31,22197870556.0
399,ROP,Roper Technologies,259.4,27247789759.0
400,ROST,Ross Stores,75.06,29803566306.0
401,RCL,Royal Caribbean Cruises Ltd,122.45,27418147452.0
402,SPGI,"S&P Global, Inc.",173.31,46585950000.0
403,CRM,Salesforce.com,104.03,79489115000.0
404,SBAC,SBA Communications,159.85,19572031314.0
405,SCG,SCANA Corp,35.6,5229448882.0
406,SLB,Schlumberger Ltd.,67.4,96529311126.0
407,SNI,Scripps Networks Interactive Inc.,86.46,11328642413.0
408,STX,Seagate Technology,47.44,14113197720.0
409,SEE,Sealed Air,42.62,8001938397.0
410,SRE,Sempra Energy,103.36,26163862235.0
411,SHW,Sherwin-Williams,387.65,37730994828.0
412,SIG,Signet Jewelers,49.38,3034275549.0
413,SPG,Simon Property Group Inc,152.18,48139839531.0
414,SWKS,Skyworks Solutions,99.04,18493080922.0
415,SLG,SL Green Realty,90.61,8617714345.0
416,SNA,Snap-On Inc.,156.72,9499107736.0
417,SO,Southern Co.,43.4,43497224128.0
418,LUV,Southwest Airlines,55.63,34351211637.0
419,SWK,Stanley Black & Decker,152.86,24496399600.0
420,SBUX,Starbucks Corp.,53.77,76548976000.0
421,STT,State Street Corp.,98.54,38059113300.0
422,SRCL,Stericycle Inc,70.55,6218560288.0
423,SYK,Stryker Corp.,148.01,57509096756.0
424,STI,SunTrust Banks,65.8,32498948310.0
425,SYMC,Symantec Corp.,25.59,16520497264.0
426,SYF,Synchrony Financial,34.98,28893750000.0
427,SNPS,Synopsys Inc.,82.62,12767067883.0
428,SYY,Sysco Corp.,57.0,30445320778.0
429,TROW,T. Rowe Price Group,101.99,25810865035.0
430,TPR,"Tapestry, Inc.",48.85,14247199374.0
431,TGT,Target Corp.,71.11,39816696539.0
432,TEL,TE Connectivity Ltd.,95.27,34983666316.0
433,FTI,TechnipFMC,29.1,14163064455.0
434,TXN,Texas Instruments,97.66,100263000000.0
435,TXT,Textron Inc.,55.54,15254672353.0
436,BK,The Bank of New York Mellon Corp.,53.29,56083904906.0
437,CLX,The Clorox Company,127.76,16540418002.0
438,COO,The Cooper Companies,223.17,11297958140.0
439,HSY,The Hershey Company,97.65,20867272020.0
440,MOS,The Mosaic Company,24.13,9726962131.0
441,TRV,The Travelers Companies Inc.,135.01,38903131815.0
442,DIS,The Walt Disney Company,101.35,157817000000.0
443,TMO,Thermo Fisher Scientific,198.73,83226586345.0
444,TIF,Tiffany & Co.,99.62,12810515320.0
445,TWX,Time Warner Inc.,93.02,74185800000.0
446,TJX,TJX Companies Inc.,74.36,48181450881.0
447,TMK,Torchmark Corp.,80.52,9614412169.0
448,TSS,Total System Services,81.17,15694951118.0
449,TSCO,Tractor Supply Company,65.94,8459271203.0
450,TDG,TransDigm Group,283.0,15241203731.0
451,TRIP,TripAdvisor,40.05,5700998508.0
452,FOXA,Twenty-First Century Fox Class A,34.56,44027094922.0
453,FOX,Twenty-First Century Fox Class B,34.09,66135313503.0
454,TSN,Tyson Foods,73.92,26957526800.0
455,USB,U.S. Bancorp,52.65,90940115897.0
456,UDR,UDR Inc,32.92,9050154422.0
457,ULTA,Ulta Salon Cosmetics & Fragrance Inc,209.09,13300000127.0
458,UAA,Under Armour Class A,13.14,5856913571.0
459,UA,Under Armour Class C,11.95,5366628950.0
460,UNP,Union Pacific,124.86,101513000000.0
461,UAL,United Continental Holdings,63.37,19363059152.0
462,UNH,United Health Group Inc.,216.46,218835000000.0
463,UPS,United Parcel Service,109.28,96436356833.0
464,URI,"United Rentals, Inc.",161.99,14654954091.0
465,UTX,United Technologies,127.48,105387000000.0
466,UHS,"Universal Health Services, Inc.",114.87,11116075286.0
467,UNM,Unum Group,47.87,11256432318.0
468,VFC,V.F. Corp.,78.75,31797645904.0
469,VLO,Valero Energy,86.77,39312309113.0
470,VAR,Varian Medical Systems,112.82,10692681720.0
471,VTR,Ventas Inc,50.92,18865999082.0
472,VRSN,Verisign Inc.,105.62,10754983829.0
473,VRSK,Verisk Analytics,92.28,15594677147.0
474,VZ,Verizon Communications,49.04,208092000000.0
475,VRTX,Vertex Pharmaceuticals Inc,151.6,39369386348.0
476,VIAB,Viacom Inc.,32.71,10601008017.0
477,V,Visa Inc.,113.86,270039000000.0
478,VNO,Vornado Realty Trust,66.18,12778779911.0
479,VMC,Vulcan Materials,121.47,16964162228.0
480,WMT,Wal-Mart Stores,100.02,304681000000.0
481,WBA,Walgreens Boots Alliance,68.22,70862541911.0
482,WM,Waste Management Inc.,79.12,35488486675.0
483,WAT,Waters Corporation,191.79,16064078572.0
484,WEC,Wec Energy Group Inc,59.5,18890296993.0
485,WFC,Wells Fargo,55.4,281464000000.0
486,HCN,Welltower Inc.,54.67,20943679019.0
487,WDC,Western Digital,80.09,24760297793.0
488,WU,Western Union Co,18.81,8951609207.0
489,WRK,WestRock Company,60.93,16433340688.0
490,WY,Weyerhaeuser Corp.,33.6,26070297960.0
491,WHR,Whirlpool Corp.,164.95,12177920000.0
492,WMB,Williams Cos.,28.56,24802396470.0
493,WLTW,Willis Towers Watson,152.36,20780269334.0
494,WYN,Wyndham Worldwide,113.56,11993835688.0
495,WYNN,Wynn Resorts Ltd,169.28,18225400525.0
496,XEL,Xcel Energy Inc,42.44,21559611927.0
497,XRX,Xerox Corp.,29.8,7938833340.0
498,XLNX,Xilinx Inc,62.82,17064975551.0
499,XL,XL Capital,41.26,10753423590.0
500,XYL,Xylem Inc.,70.24,12915021000.0
501,YUM,Yum! Brands Inc,76.3,27003303098.0
502,ZBH,Zimmer Biomet Holdings,115.53,24454698119.0
503,ZION,Zions Bancorp,50.71,10670678640.0
504,ZTS,Zoetis,71.51,35991109776.0
